SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
6928,Alamatti,2013,24,2013-06-11,16.74,1662.09,0,0,ALAMATTI-2013-06-11
6929,Alamatti,2013,24,2013-06-12,16.74,1662.09,0,0,ALAMATTI-2013-06-12
6930,Alamatti,2013,24,2013-06-13,16.74,1662.09,0,0,ALAMATTI-2013-06-13
6931,Alamatti,2013,24,2013-06-14,16.80,1662.15,964,0,ALAMATTI-2013-06-14
6932,Alamatti,2013,24,2013-06-15,15.73,1662.22,984,0,ALAMATTI-2013-06-15
6933,Alamatti,2013,24,2013-06-16,16.95,1662.32,1008,0,ALAMATTI-2013-06-16
6934,Alamatti,2013,24,2013-06-17,17.15,1662.54,2362,0,ALAMATTI-2013-06-17
6935,Bhadra,2013,24,2013-06-11,13.26,2086.58,1621,55,BHADRA-2013-06-11
6936,Bhadra,2013,24,2013-06-12,13.60,2087.41,3959,55,BHADRA-2013-06-12
6937,Bhadra,2013,24,2013-06-13,13.97,2088.33,4446,55,BHADRA-2013-06-13
6938,Bhadra,2013,24,2013-06-14,14.21,2088.91,2896,55,BHADRA-2013-06-14
6939,Bhadra,2013,24,2013-06-15,22.16,2089.83,4610,55,BHADRA-2013-06-15
6940,Bhadra,2013,24,2013-06-16,15.04,2090.83,5120,55,BHADRA-2013-06-16
6941,Bhadra,2013,24,2013-06-17,15.52,2091.91,5676,55,BHADRA-2013-06-17
6942,Ghataprabha,2013,24,2013-06-11,3.35,2073.25,0,190,GHATAPRABHA-2013-06-11
6943,Ghataprabha,2013,24,2013-06-12,3.33,2073.15,0,190,GHATAPRABHA-2013-06-12
6944,Ghataprabha,2013,24,2013-06-13,3.31,2073.05,0,190,GHATAPRABHA-2013-06-13
6945,Ghataprabha,2013,24,2013-06-14,3.32,2073.10,205,110,GHATAPRABHA-2013-06-14
6946,Ghataprabha,2013,24,2013-06-15,2.19,2073.45,776,110,GHATAPRABHA-2013-06-15
6947,Ghataprabha,2013,24,2013-06-16,3.47,2073.98,1117,108,GHATAPRABHA-2013-06-16
6948,Ghataprabha,2013,24,2013-06-17,3.61,2074.78,1719,100,GHATAPRABHA-2013-06-17
6949,Harangi,2013,24,2013-06-11,1.39,2803.02,360,0,HARANGI-2013-06-11
6950,Harangi,2013,24,2013-06-12,1.52,2805.28,1595,0,HARANGI-2013-06-12
6951,Harangi,2013,24,2013-06-13,1.62,2806.69,1137,0,HARANGI-2013-06-13
6952,Harangi,2013,24,2013-06-14,1.74,2808.37,1354,0,HARANGI-2013-06-14
6953,Harangi,2013,24,2013-06-15,1.35,2810.65,1836,0,HARANGI-2013-06-15
6954,Harangi,2013,24,2013-06-16,2.11,2813.76,2501,0,HARANGI-2013-06-16
6955,Harangi,2013,24,2013-06-17,2.43,2817.31,3662,0,HARANGI-2013-06-17
6956,Hemavathi,2013,24,2013-06-11,3.34,2856.75,375,100,HEMAVATHI-2013-06-11
6957,Hemavathi,2013,24,2013-06-12,3.38,2856.98,604,100,HEMAVATHI-2013-06-12
6958,Hemavathi,2013,24,2013-06-13,3.49,2857.56,1395,100,HEMAVATHI-2013-06-13
6959,Hemavathi,2013,24,2013-06-14,3.62,2858.25,1638,100,HEMAVATHI-2013-06-14
6960,Hemavathi,2013,24,2013-06-15,6.24,2859.35,2579,100,HEMAVATHI-2013-06-15
6961,Hemavathi,2013,24,2013-06-16,4.25,2861.40,4917,100,HEMAVATHI-2013-06-16
6962,Hemavathi,2013,24,2013-06-17,4.81,2864,6675,100,HEMAVATHI-2013-06-17
6963,K.R.S,2013,24,2013-06-11,5.11,63.13,198,775,K.R.S-2013-06-11
6964,K.R.S,2013,24,2013-06-12,5.06,62.92,227,768,K.R.S-2013-06-12
6965,K.R.S,2013,24,2013-06-13,5.03,62.80,481,762,K.R.S-2013-06-13
6966,K.R.S,2013,24,2013-06-14,5.12,63.15,1782,763,K.R.S-2013-06-14
6967,K.R.S,2013,24,2013-06-15,7.79,65,6231,798,K.R.S-2013-06-15
6968,K.R.S,2013,24,2013-06-16,5.85,66,4016,876,K.R.S-2013-06-16
6969,K.R.S,2013,24,2013-06-17,6.41,68,7517,920,K.R.S-2013-06-17
6970,Kabini,2013,24,2013-06-11,4.05,2249.82,1937,100,KABINI-2013-06-11
6971,Kabini,2013,24,2013-06-12,4.25,2250.59,2479,100,KABINI-2013-06-12
6972,Kabini,2013,24,2013-06-13,4.56,2251.69,3652,100,KABINI-2013-06-13
6973,Kabini,2013,24,2013-06-14,4.78,2252.46,2751,100,KABINI-2013-06-14
6974,Kabini,2013,24,2013-06-15,5.27,2254,5659,100,KABINI-2013-06-15
6975,Kabini,2013,24,2013-06-16,6.03,2256.33,9134,100,KABINI-2013-06-16
6976,Kabini,2013,24,2013-06-17,7.28,2259.87,14653,100,KABINI-2013-06-17
6977,Linganamakki,2013,24,2013-06-11,21.71,1753.95,1398,0,LINGANAMAKKI-2013-06-11
