SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
9,Bhadra,2014,1,2014-01-01,65.78,2153.33,355,205,BHADRA-2014-01-01
10,Bhadra,2014,1,2014-01-02,65.75,2153.31,192,343,BHADRA-2014-01-02
11,Bhadra,2014,1,2014-01-03,65.58,2153.16,148,1168,BHADRA-2014-01-03
12,Bhadra,2014,1,2014-01-04,65.58,2153.16,148,1168,BHADRA-2014-01-04
13,Bhadra,2014,1,2014-01-05,65.40,2153.02,272,55,BHADRA-2014-01-05
14,Bhadra,2014,1,2014-01-06,65.20,2152.85,281,2435,BHADRA-2014-01-06
15,Bhadra,2014,1,2014-01-07,64.95,2152.64,42,2787,BHADRA-2014-01-07
4738,Alamatti,2014,1,2014-01-01,72.35,1692.80,0,10520,ALAMATTI-2014-01-01
4739,Alamatti,2014,1,2014-01-02,71.92,1692.67,0,4930,ALAMATTI-2014-01-02
4740,Alamatti,2014,1,2014-01-03,71.19,1692.44,0,520,ALAMATTI-2014-01-03
4741,Alamatti,2014,1,2014-01-04,71.19,1692.44,0,520,ALAMATTI-2014-01-04
4742,Alamatti,2014,1,2014-01-05,71.88,1692.34,0,520,ALAMATTI-2014-01-05
4743,Alamatti,2014,1,2014-01-06,70.58,1692.01,0,0,ALAMATTI-2014-01-06
4744,Alamatti,2014,1,2014-01-07,69.77,1691.98,0,7760,ALAMATTI-2014-01-07
4745,Ghataprabha,2014,1,2014-01-01,19.21,2124.50,0,5905,GHATAPRABHA-2014-01-01
4746,Ghataprabha,2014,1,2014-01-02,18.70,2123.38,0,5931,GHATAPRABHA-2014-01-02
4747,Ghataprabha,2014,1,2014-01-03,17.68,2121.10,0,5921,GHATAPRABHA-2014-01-03
4748,Ghataprabha,2014,1,2014-01-04,17.68,2121.10,0,5921,GHATAPRABHA-2014-01-04
4749,Ghataprabha,2014,1,2014-01-05,17.18,2119.96,0,5789,GHATAPRABHA-2014-01-05
4750,Ghataprabha,2014,1,2014-01-06,16.68,2118.80,0,5790,GHATAPRABHA-2014-01-06
4751,Ghataprabha,2014,1,2014-01-07,16.18,2117.61,0,5829,GHATAPRABHA-2014-01-07
4752,Harangi,2014,1,2014-01-01,1.26,2800.40,9,40,HARANGI-2014-01-01
4753,Harangi,2014,1,2014-01-02,1.26,2800.47,38,0,HARANGI-2014-01-02
4754,Harangi,2014,1,2014-01-03,1.30,2801.27,126,0,HARANGI-2014-01-03
